neighbourhood_group,neighbourhood,room_type,average_price,listings_count,average_minimum_nights,total_number_of_reviews,average_reviews_per_month
Manhattan,Hell's Kitchen,Shared room,81.54117647058824,85,1.2823529411764707,1993,2.738470588235294
Manhattan,Inwood,Entire home/apt,110.81176470588235,85,6.08235294117647,1500,0.7397647058823529
Manhattan,Inwood,Private room,66.62931034482759,116,3.7672413793103448,3095,1.0971551724137931
Manhattan,Inwood,Shared room,34.5,2,1.5,95,1.2
Manhattan,Kips Bay,Entire home/apt,211.0593220338983,236,9.440677966101696,4067,1.0925
Manhattan,Kips Bay,Private room,109.5813953488372,86,6.127906976744186,1702,1.0646511627906976
Manhattan,Kips Bay,Shared room,97.4,15,3.6,68,0.47733333333333333
Manhattan,Little Italy,Entire home/apt,222.57894736842104,57,10.24561403508772,1831,1.3270175438596492
Manhattan,Little Italy,Private room,101.15625,32,5.5,929,1.4553125
Manhattan,Little Italy,Shared room,82.5,2,3.0,39,1.1
Manhattan,Lower East Side,Entire home/apt,210.60280373831776,428,5.44392523364486,13350,1.204906542056075
Manhattan,Lower East Side,Private room,137.66319444444446,288,3.576388888888889,10401,1.3596527777777778
Manhattan,Lower East Side,Shared room,52.77272727272727,22,10.5,410,0.5750000000000001
Manhattan,Marble Hill,Entire home/apt,92.25,4,2.0,132,1.4225
Manhattan,Marble Hill,Private room,95.16666666666667,6,2.5,36,0.25833333333333336
Manhattan,Midtown,Entire home/apt,289.852435530086,698,9.093123209169054,13103,1.174484240687679
Manhattan,Midtown,Private room,222.19402985074626,268,2.925373134328358,5955,1.5307462686567164
Manhattan,Midtown,Shared room,98.6,20,1.75,386,1.703
Manhattan,Morningside Heights,Entire home/apt,147.31623931623932,117,5.641025641025641,1136,0.47094017094017093
Manhattan,Morningside Heights,Private room,85.15671641791045,134,3.8582089552238807,3462,1.453134328358209
Manhattan,Morningside Heights,Shared room,70.0,1,3.0,1,0.04
Manhattan,Murray Hill,Entire home/apt,239.33333333333334,249,13.867469879518072,2972,0.9655421686746988
Manhattan,Murray Hill,Private room,125.94444444444444,54,3.962962962962963,1279,1.0874074074074074
Manhattan,Murray Hill,Shared room,178.625,8,2.0,284,1.89
Manhattan,NoHo,Entire home/apt,313.7894736842105,57,6.157894736842105,827,0.8233333333333334
Manhattan,NoHo,Private room,123.6,5,2.8,167,0.558
Manhattan,Nolita,Entire home/apt,301.8167938931298,131,5.068702290076335,3824,1.1386259541984733
Manhattan,Nolita,Private room,116.13888888888889,72,5.027777777777778,1564,0.9518055555555556
Manhattan,Nolita,Shared room,75.0,3,1.0,246,2.2933333333333334
Manhattan,Roosevelt Island,Entire home/apt,235.86666666666667,15,7.333333333333333,242,1.29
Manhattan,Roosevelt Island,Private room,79.95918367346938,49,4.979591836734694,970,1.0314285714285714
